bit_length,semiprime,lattice_dimension,precision_parameter,smoothness_bound,sr_pairs,ground_truth_sr_pairs
20,573697,7,4,49,1,1
20,659389,7,4,49,3,7
20,680957,7,4,49,4,8
20,722471,7,4,49,4,4
20,646769,7,4,49,1,3
20,877069,7,4,49,4,5
20,532459,7,4,49,4,4
20,545359,7,4,49,5,6
20,812909,7,4,49,3,3
20,636679,7,4,49,0,0
20,835781,7,4,49,3,3
20,628723,7,4,49,3,5
20,592997,7,4,49,5,6
20,759541,7,4,49,2,2
20,532409,7,4,49,1,1
20,594437,7,4,49,3,4
20,706939,7,4,49,6,8
20,598991,7,4,49,7,7
20,567311,7,4,49,3,5
20,715667,7,4,49,3,3
20,920639,7,4,49,4,5
20,579233,7,4,49,14,14
20,794083,7,4,49,15,16
20,651359,7,4,49,4,7
20,851269,7,4,49,5,5
20,898837,7,4,49,1,1
20,593771,7,4,49,3,3
20,624781,7,4,49,3,3
20,603241,7,4,49,7,13
20,636683,7,4,49,1,2
20,558697,7,4,49,4,5
20,630563,7,4,49,3,5
20,603089,7,4,49,2,2
20,717583,7,4,49,11,12
20,835781,7,4,49,2,2
20,594593,7,4,49,9,10
20,618517,7,4,49,5,6
20,688819,7,4,49,5,6
20,591037,7,4,49,1,1
20,782303,7,4,49,8,8
20,534757,7,4,49,3,5
20,573037,7,4,49,5,5
20,776981,7,4,49,11,11
20,704129,7,4,49,6,6
20,681157,7,4,49,5,7
20,710113,7,4,49,12,14
20,579419,7,4,49,3,4
20,604777,7,4,49,3,3
20,638611,7,4,49,3,5
20,915749,7,4,49,0,0
20,623039,7,4,49,7,8
20,572317,7,4,49,11,15
20,581671,7,4,49,7,9
20,742267,7,4,49,9,12
20,544163,7,4,49,4,4
20,702619,7,4,49,6,7
20,856829,7,4,49,4,5
20,573499,7,4,49,5,8
20,760013,7,4,49,7,10
20,545323,7,4,49,5,10
20,675677,7,4,49,8,9
20,739591,7,4,49,3,4
20,532339,7,4,49,3,4
20,783907,7,4,49,2,3
20,643063,7,4,49,4,6
20,926213,7,4,49,1,1
20,688439,7,4,49,17,18
20,707309,7,4,49,10,10
20,624647,7,4,49,8,8
20,664831,7,4,49,5,11
20,580949,7,4,49,0,1
20,888673,7,4,49,7,8
20,551891,7,4,49,10,10
20,598573,7,4,49,1,2
20,715667,7,4,49,7,7
20,577021,7,4,49,9,9
20,849859,7,4,49,10,11
20,604391,7,4,49,8,8
20,1028171,7,4,49,2,2
20,639889,7,4,49,9,9
20,955523,7,4,49,3,3
20,950141,7,4,49,4,5
20,607559,7,4,49,5,5
20,937361,7,4,49,5,6
20,624629,7,4,49,7,7
20,804509,7,4,49,3,3
20,633779,7,4,49,4,4
20,919537,7,4,49,1,1
20,645721,7,4,49,1,1
20,702157,7,4,49,11,11
20,745289,7,4,49,3,5
20,658523,7,4,49,17,19
20,937361,7,4,49,6,7
20,870913,7,4,49,5,6
20,584533,7,4,49,4,5
20,586829,7,4,49,6,7
20,563659,7,4,49,6,9
20,619481,7,4,49,4,7
20,574069,7,4,49,16,16
20,551891,7,4,49,8,8
20,568003,7,4,49,4,4
20,802117,7,4,49,8,9
20,586829,7,4,49,2,4
20,723301,7,4,49,5,5
20,834521,7,4,49,1,4
20,595489,7,4,49,8,10
20,767849,7,4,49,4,6
20,639077,7,4,49,4,6
20,572317,7,4,49,13,14
20,641939,7,4,49,6,6
20,751561,7,4,49,0,1
20,894983,7,4,49,5,5
20,616747,7,4,49,10,10
20,597203,7,4,49,7,7
20,705917,7,4,49,9,10
20,579727,7,4,49,5,8
20,597953,7,4,49,8,8
20,660761,7,4,49,5,6
20,663889,7,4,49,4,11
20,733763,7,4,49,2,5
20,692831,7,4,49,5,5
20,685603,7,4,49,2,2
20,732443,7,4,49,2,4
20,611161,7,4,49,6,7
20,525851,7,4,49,3,3
20,601793,7,4,49,6,6
20,553387,7,4,49,6,9
20,680671,7,4,49,0,0
20,536033,7,4,49,6,6
20,959311,7,4,49,8,9
20,673703,7,4,49,4,5
20,848059,7,4,49,4,4
20,862717,7,4,49,4,4
20,769277,7,4,49,6,7
20,925219,7,4,49,1,1
20,851567,7,4,49,1,1
20,594259,7,4,49,2,2
20,574069,7,4,49,4,7
20,539569,7,4,49,2,2
20,748747,7,4,49,3,4
20,800881,7,4,49,3,3
20,799261,7,4,49,3,3
20,660571,7,4,49,4,4
20,644773,7,4,49,6,7
20,785539,7,4,49,13,13
20,704203,7,4,49,1,1
20,593039,7,4,49,7,9
20,782303,7,4,49,3,3
20,805963,7,4,49,5,8
20,533131,7,4,49,9,11
20,655957,7,4,49,5,5
20,714319,7,4,49,8,8
20,606239,7,4,49,10,10
20,688819,7,4,49,12,12
20,868183,7,4,49,3,3
20,680429,7,4,49,2,3
20,652133,7,4,49,10,10
20,580189,7,4,49,1,1
20,526451,7,4,49,5,5
20,824023,7,4,49,5,5
20,877069,7,4,49,5,6
20,671423,7,4,49,3,4
20,629107,7,4,49,3,5
20,606191,7,4,49,7,7
20,864089,7,4,49,1,2
20,830407,7,4,49,15,16
20,716843,7,4,49,0,0
20,760973,7,4,49,5,5
20,557993,7,4,49,3,3
20,667397,7,4,49,6,7
