lattice_id,u,s,smoothness_value,smoothness_index,cost
177,166370535781632,-4348867253,173,39,925
178,24505338,10235,89,23,55
178,32625390625,22408532,227,48,173
179,23195718,2575,103,26,82
181,57268750,-49913,71,19,188
181,133756425,12878,137,32,141
181,171955000,-989,43,13,179
183,247718373,11210,59,16,60
183,45017819,-19847,223,47,70
185,5142387712,-7550757,179,40,559
185,69917120,8453,107,27,92
185,23296000,-6889,83,22,312
185,11806312448,-8252275,97,24,369
185,23283183,-19706,167,38,146
185,116433408,-81037,139,33,272
186,22049544,9983,149,34,59
187,2186579780,2851649,179,40,251
188,42128975,-25647,103,26,159
189,20003760,-2021,47,14,206
189,103523335425664,25648063855,211,46,523
190,574390271,5900,59,16,63
190,2070701061,-563792,211,46,103
190,418022605,288517,227,48,225
190,487179275,-177161,149,34,167
190,139234875,-9821,61,17,263
192,21166530,3337,71,19,70
192,1038180000,1183543,163,37,188
192,3579296875,2717258,211,46,343
192,21184856,21663,83,22,171
192,3727124625,2402657,211,46,334
192,21156245,-6948,193,43,72
192,63997641125,145493,173,39,273
193,550009075,-66139,59,16,359
193,84501394250,22535423,109,28,427
193,7680395632,499375,47,14,305
193,571322752,90799,101,25,354
194,225840784,76405,59,16,180
195,127035441,36352,71,19,53
195,126986600,-12489,181,41,126
195,22680441693,2032943,137,32,369
195,18158448,15721,199,45,138
195,2196965862,1695895,103,26,178
195,18142740,13,13,5,146
196,494190983,-222952,31,10,317
196,50133480250,-92759,109,28,178
196,461453525,519,173,39,61
196,131874925,31209,103,26,150
197,29994479125,-11641712,137,32,226
197,129772500,-124127,139,33,258
197,8174003750,-9483751,113,29,366
197,1168750000,-319643,163,37,317
198,23478840,403,31,10,110
198,2936803584,1998959,197,44,384
199,21178872,581,83,22,51
199,21176883,-1408,11,4,174
200,597892218,444091,173,39,102
201,6154165512,518425,233,50,266
201,473869996470,39170771,83,22,216
201,2110352211000,-348739841,263,55,477
204,107324947303,-9165987,233,50,230
204,2372100365901,16462192,167,38,169
205,556134579,314140,139,33,63
205,132359809725,74545243,251,53,213
205,4446073359,-490153,211,46,502
205,4447585989,1022477,127,30,438
205,42258977145,16623781,149,34,279
206,9991307711,5134575,307,62,230
207,6421762215,-428753,59,16,130
207,115539436859,-60000565,241,52,174
209,1079188201,-57321,193,43,69
209,9169451928,-4135009,113,29,391
209,539117436,-505325,41,12,483
211,313863255225,144696148,167,38,185
212,15901507778,25355309,73,20,417
212,7056230545,162781,89,23,114
212,63573384875,68774999,257,54,428
212,22339612295,-4602291,71,19,396
212,19431366500,27180149,233,50,398
213,151158415653,64208378,67,18,94
213,1330444826613,815802593,263,55,362
216,200455670272,49968905,167,38,279
216,462562760088,130767737,251,53,178
216,10553647104,5978611,181,41,267
216,73832698368,-981083,173,39,310
217,295754879875,-13243262,251,53,177
217,576480100,-65949,89,23,180
217,25191142705820,7034739451,311,63,346
219,408176734805,428226011,307,62,377
219,100922600350,15141103,137,32,150
219,33650874400,15054651,131,31,375
220,398955071086,-11613079,137,32,120
221,2180354176,267145,101,25,155
221,25452297728,17949033,113,29,260
221,726363352,-332325,211,46,141
221,23985527800,4570459,251,53,124
