lattice_id,u,s,smoothness_value,smoothness_index,cost
48,1311975,61,61,17,126
49,78092135,116,29,9,166
49,19293351,11371,137,32,164
49,651612346,845521,167,38,295
49,442890250,368809,59,16,158
49,17347225,-6557,83,22,205
50,11943503,11918,101,25,146
50,16713125,8906,73,20,93
50,794750,-689,53,15,131
50,99423038,-6837,53,15,137
50,3182179,423,47,14,88
50,13916018457,-4164043,89,23,374
51,619905,-226,113,29,52
51,30387500,1081,47,14,128
51,4335000,-5917,97,24,370
51,9358277487,-739565,109,28,243
52,2235415,1474,67,18,64
52,10440125,15067,61,17,291
52,503518631,137259,151,35,145
52,29816997,31117,37,11,256
52,83540925,140461,197,44,462
52,8193150,2033,107,27,133
52,3271524795,-454123,179,40,184
52,124351902675,-35421499,41,12,247
53,7055510,-6241,79,21,227
53,13323310,-15553,151,35,224
53,2562141400,-1274213,139,33,320
53,25894400,1313,101,25,220
53,5491200,-1273,67,18,227
53,784000,-639,71,19,398
53,664237600,-351633,199,45,299
53,119939072,-110695,131,31,435
53,21156245,-29008,37,11,300
53,3580825600,517843,131,31,316
53,359956480,-192821,109,28,518
54,5202085833,960233,163,37,261
54,1771561,-1550,31,10,109
54,14175161,-9727,137,32,123
54,4723719,-4577,199,45,200
55,6685250,1629,181,41,63
55,62272275000,978143,227,48,307
55,16230760,-891,11,4,117
55,42017625,6293,31,10,208
55,46787312,1965,131,31,167
55,327184000,-313429,179,40,506
55,3599337495,-3134224,89,23,412
56,18674500,18079,179,40,178
56,7099285,-7923,139,33,159
56,138590375,-181,181,41,163
56,15104375,1558,41,12,159
56,22204448,-5577,13,5,134
56,3552549,-1055,211,46,142
56,15107092,4275,19,7,115
56,78239525,60237,97,24,117
56,7109375,2167,197,44,219
56,1651455820,-81639,193,43,166
56,609118653,-324433,193,43,132
56,4875552825,8137,103,26,205
56,6222425,3618,67,18,190
56,88856229,16129,127,30,197
56,6223360,4553,157,36,112
56,890120,1719,191,42,319
56,11560000,10787,67,18,138
56,9771957,-454,227,48,102
56,889350,949,73,20,166
57,1419857,871,67,18,77
57,2837835,-137,137,32,179
57,2255604975,126728,73,20,226
57,64546875,-16988,137,32,175
57,710073,580,29,9,102
57,101478015,20516,223,47,131
57,9211875,-11534,79,21,229
57,205078125,34648,71,19,121
57,1318359375,-588112,89,23,246
57,31225005,7313,103,26,242
57,14508703125,280768,107,27,146
58,5923125,-1411,83,22,153
58,115548125,19673,191,42,167
58,35546875,-341,31,10,221
58,277265625,293567,191,42,153
59,313788397,-126380,89,23,102
60,3321188,1743,83,22,94
60,4654260,7037,227,48,253
60,53826500,51491,151,35,269
60,83086344,100219,139,33,287
60,3321864,2419,59,16,207
60,1329185,1407,67,18,191
60,83078541,92416,19,7,217
61,31596077821,-2841505,167,38,323
61,93462600,-25327,43,13,198
61,15798365625,-1094038,223,47,336
62,10549994,4859,113,29,168
62,1827958132,-568277,113,29,189
62,562122561,-284639,211,46,223
62,439088364,-292261,131,31,361
62,79577743518,42820303,167,38,332
62,25367712678,-28487447,199,45,439
63,5582577,-4393,191,42,180
63,71373939,-139277,79,21,491
63,13936923,-30502,151,35,662
63,119594217886,-176451489,109,28,847
63,26767741,-49715,163,37,451
64,8754966,-2185,23,8,175
64,2695275,767,59,16,134
64,280416411,187579,211,46,386
64,140072625,-41791,79,21,214
64,14573155905,1256641,59,16,434
64,2606940973,-1342771,127,30,296
64,43111575,-553,79,21,314
64,796539777,-360964,71,19,410
65,545292,-31,31,10,64
65,3814800,-2461,107,27,191
65,131948271,-19895,173,39,151
65,14707550,-16171,157,36,231
65,8719893,-5275,211,46,185
65,106776813,-106495,59,16,247
65,68167008,1633,71,19,163
65,272386257,-275243,173,39,353
65,309125960,-72181,131,31,223
65,53969305,-17672,47,14,262
65,3575405405,-2458798,223,47,281
65,2385443281,-344844,103,26,477
65,14162445,-15953,53,15,231
65,245027783,-367567,167,38,362
65,218101653,-27547,163,37,158
66,811538,225,5,2,54
66,71373939,-21605,149,34,202
66,101362989,-51136,47,14,426
66,2433431,-508,127,30,102
66,198846076,74391,181,41,182
67,643125,62,31,10,42
67,10924550,-7521,109,28,132
67,367653125,-178911,193,43,126
67,2571471,-781,71,19,123
67,1136953125,17741,157,36,256
67,6847351875,17051,59,16,288
68,59717515,-57879,109,28,198
68,3298450925,-174899,163,37,250
68,2436525,-3287,173,39,269
68,87819875,-13357,37,11,150
68,5488000,-1577,83,22,179
68,609375,-578,17,6,306
68,417828125,-599633,31,10,487
68,610368,415,83,22,93
68,45774421,27946,157,36,255
68,15247232,-1593,59,16,114
68,609840,-113,113,29,137
68,4266405,-3266,71,19,223
68,6100941,1411,83,22,112
68,7940625,11236,53,15,352
68,1830101,242,11,4,98
68,16472456,3725,149,34,249
68,10375750,6549,59,16,139
68,1830125,266,19,7,302
69,23529800,-25897,47,14,297
69,17853836,8611,109,28,97
69,714000,191,191,42,88
69,714025,216,3,1,148
69,713440,-369,41,12,200
69,36386714,-17545,29,9,310
69,5000000,3337,71,19,195
69,2272306400,3107589,181,41,278
70,695604,205,41,12,46
70,11830000,8217,83,22,115
70,603351125,440192,181,41,248
70,115796734144,99725519,163,37,263
70,15306375,7597,107,27,103
70,7647185,-2204,29,9,69
71,2756193,485,97,24,64
71,4826809,4320,5,2,88
71,1550095547,9797,101,25,276
71,17216199,-6976,109,28,249
71,917664930,703093,197,44,139
72,156065000,129559,131,31,258
73,686664,65,13,5,59
73,75557027,31137,107,27,89
73,581782500,233147,83,22,281
73,4811400,5207,127,30,330
73,9616475,4089,47,14,154
74,3174665,-963,107,27,49
74,5562128,4779,59,16,105
74,7153328,8165,71,19,207
74,138863582,-70143,227,48,113
74,850678400,404003,179,40,187
74,238289906712,18568337,193,43,285
74,1744635200,421521,149,34,167
74,1040000000,775737,157,36,319
74,134280960,110677,163,37,165
74,38937600,36157,173,39,229
74,229605376,166253,173,39,287
76,8711395,4371,47,14,225
76,46250919,-5146,83,22,74
76,29937843,7448,19,7,147
76,4348377,-5135,79,21,236
76,4349943,-3569,83,22,263
76,426629025,-15151,139,33,361
77,4151485,506,23,8,65
77,593190,193,193,43,104
77,8397790830,360313,197,44,270
78,897974,-369,41,12,50
78,9865221597,-3076258,157,36,222
78,1908737376,-241499,107,27,342
78,112252224,-40651,59,16,350
78,2692613,-2416,151,35,131
78,3702294323,-3370552,193,43,356
78,40424164,-1271,41,12,101
79,1742279,453,151,35,54
79,83604521,-3127,59,16,275
79,43560848331,15198331,227,48,315
79,2614430,1691,89,23,131
79,83490514835,29180219,223,47,370
80,28102360,909,101,25,115
80,22380160,13699,103,26,139
80,7453600,-1887,37,11,112
80,6881875,-113,113,29,111
80,196625000,-85157,67,18,251
80,11471889,1909,83,22,109
80,2508969606,-88519,127,30,291
80,28110720,9269,31,10,137
80,4588311,319,29,9,71
80,573300,-199,199,45,133
80,28114944,13493,131,31,298
80,19508125,9159,71,19,108
80,165785620,44409,131,31,138
80,9750000,517,47,14,210
80,5738733,3743,197,44,154
80,574464,965,193,43,273
80,9757440,7957,109,28,174
81,128108750,-46719,179,40,135
81,2898918,-527,31,10,85
81,82906875,-17252,227,48,180
81,30092125,-62103,163,37,575
82,1670420,707,101,25,142
82,2785671,2816,11,4,143
82,1113879,737,67,18,133
82,4459455,6887,97,24,435
82,9459450,-2257,61,17,107
82,556875,304,19,7,178
82,104104845,26068,19,7,123
82,27275820,3841,167,38,135
82,19494189,14204,67,18,126
82,318495051,136439,167,38,154
82,556325,-246,41,12,98
82,2226609,325,13,5,107
82,1718026970,-107707,71,19,178
83,588245,102,17,6,38
