lattice_id,u,s,smoothness_value,smoothness_index,cost
56,12998046875,-7559284,197,44,365
57,898425,-412,103,26,112
57,898425,-412,103,26,112
57,11663190,-21691,199,45,516
57,11663190,-21691,199,45,516
57,112355397,772,193,43,143
57,112355397,772,193,43,143
57,786265623,-216752,31,10,201
57,786265623,-216752,31,10,201
58,27187875,-2231,97,24,116
58,22418019,26167,191,42,283
58,87947613,-20377,71,19,199
59,8181250,6847,167,38,107
59,306939675,-54571,41,12,96
59,11807775,304,19,7,115
59,907578,-689,53,15,233
59,11812500,5029,107,27,150
59,15435000,-5539,191,42,262
59,909194,927,103,26,146
59,61790625,28469,83,22,191
59,77154077,-48618,73,20,204
59,787286500,-180989,79,21,227
59,907137,-1130,113,29,238
59,907500,-767,59,16,241
59,15459444,18905,199,45,277
59,113557059,23684,191,42,186
59,908820,553,79,21,191
59,4540536,-799,47,14,259
59,1837687500,263359,167,38,248
60,173612978,-5795,61,17,60
60,16232813443,-11655837,157,36,227
60,70306082,17513,211,46,138
60,31225005,-14359,173,39,161
60,49130810645,-8708927,163,37,233
60,28824005,-12331,59,16,354
61,42595710,-15089,191,42,84
61,1057812250,289693,193,43,221
61,553696,309,103,26,127
61,27144325,28362,163,37,206
61,2526510250,1405369,43,13,265
61,4984672,4189,71,19,193
61,104627248,37105,181,41,131
62,607750,93,31,10,48
62,140320193,-48574,163,37,237
62,114841375,-5798,223,47,130
62,49179130,-41087,227,48,236
62,208468416,42065,179,40,414
62,147665128,4477,37,11,294
62,13130837536,-22577,211,46,462
62,4253392,-207,23,8,306
63,571725,-82,41,12,74
63,10295285,2759,89,23,123
63,128665108,8533,53,15,225
64,9391536,-1525,61,17,202
64,552279,-254,127,30,57
64,280004620,-129611,113,29,143
64,6086340,8477,173,39,314
64,122245200,135407,67,18,359
64,19882681,-8507,181,41,129
65,584375,424,53,15,63
65,804156925,56398,173,39,298
65,5915670761,3166886,199,45,292
67,9714446,-2937,89,23,70
67,9714446,-2937,89,23,70
67,33647614,10519,157,36,106
67,33647614,10519,157,36,106
67,26156812,-5373,199,45,107
67,26156812,-5373,199,45,107
68,53429453,15768,73,20,84
68,22204448,17225,53,15,166
69,2926125,1633,71,19,129
69,29255499,10579,149,34,138
69,8047494,5141,97,24,140
69,731250,127,127,30,118
69,8044400,2047,89,23,143
69,62178597,33142,227,48,234
69,201064032,5207,127,30,235
69,64286775,-52049,73,20,170
69,257298363,-56933,197,44,202
69,44226729729,-6211771,139,33,209
70,5846470,1719,191,42,35
70,87628268,-42997,73,20,160
70,1734722500,-1168547,163,37,317
70,64286775,-5486,211,46,166
70,10504375000,-1830593,71,19,435
70,531250,-91,13,5,71
70,530621,-720,5,2,306
70,455546875,-343703,101,25,224
71,1591863,985,197,44,87
71,19882681,-3294,61,17,60
71,34987225,-12091,113,29,101
71,70001155,2523,29,9,155
72,5475734,-387,43,13,48
72,782628,325,13,5,71
72,345893625,115699,59,16,204
72,21146125,23944,73,20,280
72,38341875,9028,61,17,313
72,2348125,1216,19,7,306
72,13305708,6557,83,22,126
72,3128697,-515,103,26,53
72,3129581,369,41,12,138
72,1563705,-901,53,15,123
72,175192875,-42997,73,20,286
72,146277495,-13166,227,48,184
73,54187500,-26569,163,37,286
